estimator,min_score,mean_score,max_score,std_score,min_child_weight,max_depth,learning_rate,min_samples_split,min_samples_leaf,max_features
XGBRegressor,3.362695970038014,3.5001746145403345,3.5998007354962427,0.09004961525240798,1,36,0.1,,,
XGBRegressor,3.3803449454393664,3.4874360652521346,3.5312748662229483,0.06203935868550786,1,30,0.1,,,
XGBRegressor,3.320804672823333,3.3828627572728602,3.4159367891717216,0.03749803633498913,3,32,0.1,,,
XGBRegressor,3.3142222681113234,3.3821822963898396,3.4410629055159703,0.05045852585353193,3,36,0.1,,,
XGBRegressor,3.312295085455126,3.3655559336793885,3.4153389341129263,0.044561590837448053,3,38,0.1,,,
RandomForestRegressor,3.175799907752695,3.2175196777173536,3.2471831033877887,0.026232464160627116,,90,,5,1,
RandomForestRegressor,3.1140625140318523,3.1774971812557338,3.2231626522530834,0.03971916004732734,,100,,5,2,
RandomForestRegressor,3.0867039225750297,3.130176870617143,3.1784588287010758,0.0353047985261815,,100,,2,8,sqrt
RandomForestRegressor,3.0651810484101474,3.1123298102891503,3.15533042252144,0.035626894336094325,,90,,5,2,sqrt
RandomForestRegressor,3.065920720863993,3.1062144134458585,3.1394231936625787,0.02839078931749792,,60,,5,2,sqrt
